Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,Individual_ID,Phenophase_ID,Phenophase_Description,FirstObs_Year,FirstObs_Month,FirstObs_Day,FirstObs_DOY,FirstObs_Julian_Date,LastObs_Year,LastObs_Month,LastObs_Day,LastObs_DOY,LastObs_Julian_Date,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall
21230,home,40.814957,-73.679008,54,91877,498,Colored_leaves,2015,10,28,301,2457324,2015,11,3,307,2457330,2.91,15.3,28.04,17.86,334,198,275,306
21230,home,40.814957,-73.679008,54,91877,504,Recent_fruit_or_seed_drop,2015,7,17,198,2457221,2015,11,10,314,2457337,2.91,15.3,28.04,17.86,334,198,275,306
21230,home,40.814957,-73.679008,54,91877,516,Fruits,2015,7,17,198,2457221,2015,10,28,301,2457324,2.91,15.3,28.04,17.86,334,198,275,306
21492,home,44.730141,-73.576591,166,94273,483,Leaves,2015,8,31,243,2457266,2015,10,12,285,2457308,-3.93,12.2,24.88,14.02,127,121,417,144
21492,home,44.730141,-73.576591,166,94273,498,Colored_leaves,2015,10,12,285,2457308,2015,10,12,285,2457308,-3.93,12.2,24.88,14.02,127,121,417,144
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,390,Ripe_fruits,2016,6,18,170,2457558,2016,6,18,170,2457558,4.43,14.44,28.13,17.66,191,126,180,219
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,467,Increasing_leaf_size,2016,5,19,140,2457528,2016,5,19,140,2457528,4.43,14.44,28.13,17.66,191,126,180,219
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,483,Leaves,2016,5,19,140,2457528,2016,9,14,258,2457646,4.43,14.44,28.13,17.66,191,126,180,219
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,500,Flowers_or_flower_buds,2016,7,17,199,2457587,2016,7,17,199,2457587,4.43,14.44,28.13,17.66,191,126,180,219
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,516,Fruits,2016,6,18,170,2457558,2016,6,18,170,2457558,4.43,14.44,28.13,17.66,191,126,180,219
21230,home,40.814957,-73.679008,54,91877,471,Falling_leaves,2016,10,2,276,2457664,2016,10,30,304,2457692,8.26,16.38,28.82,19.95,373,241,266,239
21230,home,40.814957,-73.679008,54,91877,483,Leaves,2016,9,17,261,2457649,2016,10,30,304,2457692,8.26,16.38,28.82,19.95,373,241,266,239
21230,home,40.814957,-73.679008,54,91877,498,Colored_leaves,2016,10,16,290,2457678,2016,10,30,304,2457692,8.26,16.38,28.82,19.95,373,241,266,239
21230,home,40.814957,-73.679008,54,91877,500,Flowers_or_flower_buds,2016,3,17,77,2457465,2016,3,17,77,2457465,8.26,16.38,28.82,19.95,373,241,266,239
23813,Phudd_Hill_,42.270908,-73.59346,212,112468,371,Breaking_leaf_buds,2016,4,22,113,2457501,2016,5,23,144,2457532,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112468,467,Increasing_leaf_size,2016,5,15,136,2457524,2016,6,20,172,2457560,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112468,471,Falling_leaves,2016,9,7,251,2457639,2016,9,16,260,2457648,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112468,471,Falling_leaves,2016,10,23,297,2457685,2016,10,30,304,2457692,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112468,483,Leaves,2016,5,15,136,2457524,2016,10,30,304,2457692,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112468,498,Colored_leaves,2016,8,30,243,2457631,2016,10,30,304,2457692,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,371,Breaking_leaf_buds,2016,4,22,113,2457501,2016,4,22,113,2457501,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,371,Breaking_leaf_buds,2016,5,15,136,2457524,2016,5,23,144,2457532,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,467,Increasing_leaf_size,2016,5,15,136,2457524,2016,6,20,172,2457560,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,471,Falling_leaves,2016,9,7,251,2457639,2016,9,25,269,2457657,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,471,Falling_leaves,2016,10,11,285,2457673,2016,10,30,304,2457692,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,483,Leaves,2016,5,15,136,2457524,2016,10,30,304,2457692,5.03,15.15,27.41,17.73,273,206,267,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,498,Colored_leaves,2016,8,30,243,2457631,2016,10,30,304,2457692,5.03,15.15,27.41,17.73,273,206,267,253
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117172,390,Ripe_fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117172,471,Falling_leaves,2016,10,15,289,2457677,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117172,483,Leaves,2016,10,28,302,2457690,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117172,498,Colored_leaves,2016,10,15,289,2457677,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117172,504,Recent_fruit_or_seed_drop,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117172,516,Fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117173,390,Ripe_fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117173,471,Falling_leaves,2016,10,15,289,2457677,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117173,483,Leaves,2016,10,28,302,2457690,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117173,498,Colored_leaves,2016,10,15,289,2457677,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117173,504,Recent_fruit_or_seed_drop,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117173,516,Fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117174,390,Ripe_fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117174,471,Falling_leaves,2016,10,15,289,2457677,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117174,483,Leaves,2016,10,28,302,2457690,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117174,498,Colored_leaves,2016,10,15,289,2457677,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117174,504,Recent_fruit_or_seed_drop,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117174,516,Fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117175,390,Ripe_fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117175,471,Falling_leaves,2016,10,15,289,2457677,2016,12,1,336,2457724,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117175,483,Leaves,2016,10,28,302,2457690,2016,12,1,336,2457724,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117175,498,Colored_leaves,2016,10,15,289,2457677,2016,12,1,336,2457724,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117175,504,Recent_fruit_or_seed_drop,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117175,516,Fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117176,390,Ripe_fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117176,471,Falling_leaves,2016,10,15,289,2457677,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117176,483,Leaves,2016,10,28,302,2457690,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117176,498,Colored_leaves,2016,10,28,302,2457690,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117176,504,Recent_fruit_or_seed_drop,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117176,516,Fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117178,390,Ripe_fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117178,471,Falling_leaves,2016,10,15,289,2457677,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117178,483,Leaves,2016,10,28,302,2457690,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117178,498,Colored_leaves,2016,10,15,289,2457677,2016,11,17,322,2457710,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117178,504,Recent_fruit_or_seed_drop,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117178,516,Fruits,2016,10,15,289,2457677,2016,12,8,343,2457731,4.98,14.48,28.53,18.13,159,138,170,217
17731,Happy_Valley,42.020794,-74.243362,254,141320,371,Breaking_leaf_buds,2016,4,23,114,2457502,2016,4,26,117,2457505,5.24,15.44,27.59,18.02,341,196,351,435
17731,Happy_Valley,42.020794,-74.243362,254,141320,483,Leaves,2016,5,20,141,2457529,2016,6,8,160,2457548,5.24,15.44,27.59,18.02,341,196,351,435
17731,Happy_Valley,42.020794,-74.243362,254,141320,500,Flowers_or_flower_buds,2016,6,8,160,2457548,2016,6,8,160,2457548,5.24,15.44,27.59,18.02,341,196,351,435
17731,Happy_Valley,42.020794,-74.243362,254,141320,501,Open_flowers,2016,6,8,160,2457548,2016,6,8,160,2457548,5.24,15.44,27.59,18.02,341,196,351,435
17731,Happy_Valley,42.020794,-74.243362,254,141321,371,Breaking_leaf_buds,2016,4,23,114,2457502,2016,4,26,117,2457505,5.24,15.44,27.59,18.02,341,196,351,435
17731,Happy_Valley,42.020794,-74.243362,254,141321,483,Leaves,2016,5,20,141,2457529,2016,6,8,160,2457548,5.24,15.44,27.59,18.02,341,196,351,435
17731,Happy_Valley,42.020794,-74.243362,254,141321,500,Flowers_or_flower_buds,2016,6,8,160,2457548,2016,6,8,160,2457548,5.24,15.44,27.59,18.02,341,196,351,435
17731,Happy_Valley,42.020794,-74.243362,254,141321,501,Open_flowers,2016,6,8,160,2457548,2016,6,8,160,2457548,5.24,15.44,27.59,18.02,341,196,351,435
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,371,Breaking_leaf_buds,2017,4,25,115,2457869,2017,4,27,117,2457871,3.73,13.1,25.91,17.52,188,312,312,263
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,390,Ripe_fruits,2017,8,31,243,2457997,2017,9,28,271,2458025,3.73,13.1,25.91,17.52,188,312,312,263
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,467,Increasing_leaf_size,2017,4,27,117,2457871,2017,6,1,152,2457906,3.73,13.1,25.91,17.52,188,312,312,263
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,471,Falling_leaves,2017,9,21,264,2458018,2017,11,9,313,2458067,3.73,13.1,25.91,17.52,188,312,312,263
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,483,Leaves,2017,4,27,117,2457871,2017,11,9,313,2458067,3.73,13.1,25.91,17.52,188,312,312,263
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,498,Colored_leaves,2017,9,7,250,2458004,2017,11,9,313,2458067,3.73,13.1,25.91,17.52,188,312,312,263
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,500,Flowers_or_flower_buds,2017,7,6,187,2457941,2017,7,10,191,2457945,3.73,13.1,25.91,17.52,188,312,312,263
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,501,Open_flowers,2017,7,6,187,2457941,2017,7,6,187,2457941,3.73,13.1,25.91,17.52,188,312,312,263
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,504,Recent_fruit_or_seed_drop,2017,8,31,243,2457997,2017,10,19,292,2458046,3.73,13.1,25.91,17.52,188,312,312,263
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,516,Fruits,2017,7,10,191,2457945,2017,9,28,271,2458025,3.73,13.1,25.91,17.52,188,312,312,263
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,371,Breaking_leaf_buds,2017,5,12,132,2457886,2017,5,21,141,2457895,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,390,Ripe_fruits,2017,10,13,286,2458040,2017,12,1,335,2458089,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,467,Increasing_leaf_size,2017,5,12,132,2457886,2017,5,21,141,2457895,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,471,Falling_leaves,2017,6,5,156,2457910,2017,6,12,163,2457917,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,471,Falling_leaves,2017,10,6,279,2458033,2017,10,13,286,2458040,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,471,Falling_leaves,2017,10,27,300,2458054,2017,10,27,300,2458054,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,483,Leaves,2017,5,12,132,2457886,2017,9,6,249,2458003,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,483,Leaves,2017,10,6,279,2458033,2017,10,27,300,2458054,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,498,Colored_leaves,2017,10,6,279,2458033,2017,10,27,300,2458054,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,500,Flowers_or_flower_buds,2017,5,27,147,2457901,2017,7,17,198,2457952,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,501,Open_flowers,2017,7,17,198,2457952,2017,7,17,198,2457952,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,504,Recent_fruit_or_seed_drop,2017,10,27,300,2458054,2017,11,9,313,2458067,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,516,Fruits,2017,7,10,191,2457945,2017,9,6,249,2458003,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,112470,516,Fruits,2017,10,13,286,2458040,2017,12,1,335,2458089,3.62,12.84,25.57,16.96,288,348,316,253
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117172,371,Breaking_leaf_buds,2017,4,27,117,2457871,2017,4,27,117,2457871,4.03,13.6,25.84,18.3,192,336,373,257
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117172,467,Increasing_leaf_size,2017,4,27,117,2457871,2017,4,27,117,2457871,4.03,13.6,25.84,18.3,192,336,373,257
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117172,483,Leaves,2017,4,27,117,2457871,2017,4,27,117,2457871,4.03,13.6,25.84,18.3,192,336,373,257
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117173,371,Breaking_leaf_buds,2017,4,27,117,2457871,2017,4,27,117,2457871,4.03,13.6,25.84,18.3,192,336,373,257
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117173,467,Increasing_leaf_size,2017,4,27,117,2457871,2017,4,27,117,2457871,4.03,13.6,25.84,18.3,192,336,373,257
24719,SUNY_Geneseo_Campus,42.79649,-77.820496,219,117173,483,Leaves,2017,4,27,117,2457871,2017,4,27,117,2457871,4.03,13.6,25.84,18.3,192,336,373,257
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,371,Breaking_leaf_buds,2017,4,19,109,2457863,2017,5,21,141,2457895,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,390,Ripe_fruits,2017,9,6,249,2458003,2017,12,1,335,2458089,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,467,Increasing_leaf_size,2017,5,7,127,2457881,2017,5,21,141,2457895,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,471,Falling_leaves,2017,6,5,156,2457910,2017,6,5,156,2457910,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,471,Falling_leaves,2017,6,26,177,2457931,2017,6,26,177,2457931,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,471,Falling_leaves,2017,10,6,279,2458033,2017,10,20,293,2458047,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,471,Falling_leaves,2017,11,2,306,2458060,2017,11,2,306,2458060,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,483,Leaves,2017,5,7,127,2457881,2017,11,2,306,2458060,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,498,Colored_leaves,2017,5,21,141,2457895,2017,5,21,141,2457895,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,498,Colored_leaves,2017,8,28,240,2457994,2017,11,2,306,2458060,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,500,Flowers_or_flower_buds,2017,5,21,141,2457895,2017,7,17,198,2457952,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,501,Open_flowers,2017,7,10,191,2457945,2017,7,17,198,2457952,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,504,Recent_fruit_or_seed_drop,2017,10,20,293,2458047,2017,11,9,313,2458067,3.62,12.84,25.57,16.96,288,348,316,253
23813,Phudd_Hill_,42.270908,-73.59346,212,118701,516,Fruits,2017,7,3,184,2457938,2017,12,1,335,2458089,3.62,12.84,25.57,16.96,288,348,316,253
17731,Happy_Valley,42.020794,-74.243362,254,141320,371,Breaking_leaf_buds,2017,4,22,112,2457866,2017,4,22,112,2457866,3.92,13.18,25.49,17.3,292,432,351,232
17731,Happy_Valley,42.020794,-74.243362,254,141320,467,Increasing_leaf_size,2017,5,9,129,2457883,2017,5,9,129,2457883,3.92,13.18,25.49,17.3,292,432,351,232
17731,Happy_Valley,42.020794,-74.243362,254,141320,483,Leaves,2017,5,9,129,2457883,2017,7,15,196,2457950,3.92,13.18,25.49,17.3,292,432,351,232
17731,Happy_Valley,42.020794,-74.243362,254,141320,500,Flowers_or_flower_buds,2017,6,8,159,2457913,2017,6,8,159,2457913,3.92,13.18,25.49,17.3,292,432,351,232
17731,Happy_Valley,42.020794,-74.243362,254,141320,501,Open_flowers,2017,6,8,159,2457913,2017,7,3,184,2457938,3.92,13.18,25.49,17.3,292,432,351,232
17731,Happy_Valley,42.020794,-74.243362,254,141321,371,Breaking_leaf_buds,2017,4,22,112,2457866,2017,4,22,112,2457866,3.92,13.18,25.49,17.3,292,432,351,232
17731,Happy_Valley,42.020794,-74.243362,254,141321,467,Increasing_leaf_size,2017,5,9,129,2457883,2017,5,9,129,2457883,3.92,13.18,25.49,17.3,292,432,351,232
17731,Happy_Valley,42.020794,-74.243362,254,141321,483,Leaves,2017,5,9,129,2457883,2017,7,3,184,2457938,3.92,13.18,25.49,17.3,292,432,351,232
17731,Happy_Valley,42.020794,-74.243362,254,141321,500,Flowers_or_flower_buds,2017,6,8,159,2457913,2017,6,8,159,2457913,3.92,13.18,25.49,17.3,292,432,351,232
18132,Huyck_Preserve_Falls_Trail,42.515305,-74.140076,417,142909,390,Ripe_fruits,2017,11,12,316,2458070,2017,11,12,316,2458070,2.09,11.45,24.04,15.35,242,412,326,242
